Model,MAE,RMSE,R2
LinearRegression,80879.09723486961,100444.06055556824,0.9179971706834602
RobustRegression,200714.83530019605,250605.39096649212,0.48954068544988116
RidgeRegression,80882.08068490674,100447.5812180401,0.9179914220241199
LassoRegression,80879.15942634382,100444.12076956837,0.9179970723656538
ElasticNet,100124.30560527804,124745.70672285052,0.8735171828391082
PolynomialRegression,80886.67292999382,100495.11584909103,0.9179137861103389
SGDRegressor,2.3018697605154982e+17,2.5979686964590874e+17,-5.4859032271409226e+23
ANN,200538.03834701996,250453.66761031875,0.4901585903987309
RandomForest,94672.46651147716,120271.07856297775,0.8824283194875219
SVM,279130.8695211072,350941.5597254943,-0.0010365122532220994
LGBM,87681.38040878708,110966.07404491233,0.8999168981926512
XGBoost,96076.29387955746,122117.77295258203,0.8787901076275872
KNN,102165.64483397284,126800.00694300175,0.8693170681585094
